"year_initial","month_initial","day_initial","year_final","month_final","day_final","site","level","avg","products","download"
2022,08,01,2022,08,02,"CEILAP-BA",15,10,"siz","off"
2022,08,01,2022,08,02,"CEILAP-BA",15,10,"rin","off"
2022,08,01,2022,08,02,"CEILAP-BA",15,10,"cad","off"
2022,08,01,2022,08,02,"CEILAP-BA",15,10,"vol","off"
2022,08,01,2022,08,02,"CEILAP-BA",15,10,"tab","off"
2022,08,01,2022,08,02,"CEILAP-BA",15,10,"aod","on"
2022,08,01,2022,08,02,"CEILAP-BA",15,10,"ssa","off"
2022,08,01,2022,08,02,"CEILAP-BA",15,10,"asy","off"
2022,08,01,2022,08,02,"CEILAP-BA",15,10,"frc","off"
2022,08,01,2022,08,02,"CEILAP-BA",15,10,"lid","off"
2022,08,01,2022,08,02,"CEILAP-BA",15,10,"flx","off"
2022,08,01,2022,08,02,"CEILAP-BA",15,10,"pfn","off"
2022,08,01,2022,08,02,"CEILAP-BA",15,10,"pfncoarse","off"
2022,08,01,2022,08,02,"CEILAP-BA",15,10,"pfnfine","off"
2022,08,01,2022,08,02,"CEILAP-BA",15,10,"directsun","off"
